Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
1,2021-01-26,4,Spa&Relax,Bus Tour,White painting white,Evening,181.56,6,26,2021-02-21,3,Partner Site,Transaction,1,Stephanie James,Female,Boomer,Divorced,kathleengreen@example.net,Solo Traveler
2,2021-02-03,1,Culture,Bus Tour,The tend deep,Personalized,58.27,7,8,2021-02-11,4,Travel Agency,Card,2,Madeline Landry,Male,Gen Z,Single,mariorodriguez@example.com,Budget Traveler
3,2021-07-31,3,Adventure,Bus Tour,White ready chair,Evening,75.33,7,8,2021-08-08,1,Website,Transaction,3,Joshua Hudson,Male,Gen X,Married,matthew80@example.org,Budget Traveler
4,2021-12-27,2,Sport,Walking Tour,Use get budget,Morning,160.58,3,6,2022-01-02,4,Travel Agency,PayPal,4,Laura Parks,Female,Millennial,Married,avilaelizabeth@example.net,Solo Traveler
5,2021-02-03,6,Family,Guided Tour,Sea hard fall,Personalized,172.82,9,25,2021-02-28,4,Travel Agency,PayPal,5,Ashley Turner,Female,Gen X,Divorced,jessicamorgan@example.org,Family
6,2021-03-26,5,Gastronomy,Group Tour,Whom book development,Personalized,78.28,3,11,2021-04-06,4,Travel Agency,Transaction,6,Earl Cruz,Female,Gen Z,Widowed,agarcia@example.com,Solo Traveler
7,2021-04-16,4,Spa&Relax,VIP Experience,Difficult radio,Half Day,138.41,5,17,2021-05-03,3,Partner Site,Transaction,7,Mr. Michael Young,Female,Gen Z,Married,fmiller@example.net,Budget Traveler
8,2021-04-11,2,Sport,Self-Guided,About painting trial,Morning,67.01,1,2,2021-04-13,3,Partner Site,PayPal,8,David Miller,Male,Millennial,Divorced,chavezallison@example.net,Solo Traveler
9,2021-04-28,3,Adventure,Guided Tour,Recognize,Personalized,67.79,10,17,2021-05-15,3,Partner Site,PayPal,9,Lisa Hayes,Female,Gen Z,Divorced,jgriffin@example.org,Budget Traveler
10,2021-04-16,1,Culture,Self-Guided,Never college,Evening,58.16,5,12,2021-04-28,2,Mobile App,PayPal,10,Luis Levine,Male,Boomer,Divorced,joneal@example.net,Budget Traveler
11,2021-06-25,1,Culture,VIP Experience,Sea very his,Evening,136.7,2,17,2021-07-12,2,Mobile App,Transaction,11,Vincent Smith,Female,Gen X,Divorced,lawsondouglas@example.com,Family
12,2021-05-14,2,Sport,Guided Tour,Theory laugh,Personalized,114.41,10,9,2021-05-23,1,Website,Transaction,12,Robert Green,Male,Millennial,Married,hamiltonkenneth@example.org,Family
13,2021-07-30,6,Family,VIP Experience,Any owner,Evening,172.49,2,20,2021-08-19,4,Travel Agency,Transaction,13,Ryan Woods,Male,Gen Z,Single,michael69@example.net,Budget Traveler
